Index,Name,Nationality,Positions,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
7027,A. Fidler,Russia,CDM,33,66,64,71,61,65,49,39,59,57,60,6,12,6,14,7,49,73,63,69,70,70,39,42,69,67,85,68,31,50,67,65,65,62,60,65,67,58,63,60,60,65,63,67,58,55,58,56,60,60,60,65,63,67,58,55,58,56,60,58
7028,G. Skondras,Greece,CB,69,77,68,74,59,58,67,46,57,46,49,12,9,8,15,14,68,66,69,62,56,68,57,46,68,59,59,66,72,77,69,70,45,35,56,68,65,57,59,56,67,68,59,65,57,60,57,58,67,56,67,68,59,65,57,60,57,58,67,57
7029,A. Tzanetopoulos,Greece,CB,40,72,44,41,54,64,23,28,38,24,31,14,7,11,15,14,69,60,69,55,18,72,47,22,59,60,46,65,50,70,70,79,29,24,42,67,62,41,49,42,58,67,49,62,41,43,44,39,56,42,58,67,49,62,41,43,44,39,56,44
7030,S. Cronin,United States,CDM,57,74,64,73,66,70,62,63,59,55,45,16,9,7,13,12,58,66,74,68,64,65,61,62,67,71,71,60,66,80,62,67,65,57,64,65,67,63,67,64,65,65,67,67,63,64,62,63,66,64,65,65,67,67,63,64,62,63,66,62
7031,R. Hall,England,CAM,87,56,75,82,64,59,69,67,69,62,63,13,11,9,10,16,59,13,76,56,61,17,51,65,61,61,60,13,88,67,20,60,54,57,64,37,43,65,57,64,45,37,57,43,65,67,65,67,48,64,45,37,57,43,65,67,65,67,48,65
7032,A. Hofmann,Germany,CM,63,76,59,63,63,65,54,42,55,35,38,10,15,9,14,16,56,68,78,60,42,65,50,49,64,66,57,66,54,78,69,76,51,32,56,67,67,55,60,56,65,67,60,67,55,58,53,55,64,56,65,67,60,67,55,58,53,55,64,53
7033,V. Parigini,Italy,ST,76,42,77,70,75,73,60,61,75,69,47,12,11,6,10,6,58,19,78,38,60,13,54,66,62,64,65,11,78,67,15,54,34,65,63,35,40,66,54,63,44,35,54,40,66,65,67,68,48,63,44,35,54,40,66,65,67,68,48,67
7034,M. Duruer,Turkey,LB,75,59,72,59,66,66,64,68,67,60,69,9,6,15,7,11,55,58,50,60,69,42,64,65,66,65,72,40,73,75,45,62,65,62,66,53,58,66,64,66,58,53,64,58,66,67,65,66,60,66,58,53,64,58,66,67,65,66,60,65
7035,S. Salinas,United States,RM,83,52,74,62,66,53,69,74,68,56,65,9,13,8,8,9,55,59,49,62,59,53,50,59,63,65,62,56,77,78,59,51,67,55,65,57,61,65,64,65,64,57,64,61,65,67,62,67,65,65,64,57,64,61,65,67,62,67,65,62
7036,P. Caddis,Scotland,RWB,71,71,72,84,64,62,71,73,65,59,66,16,13,12,10,13,56,64,80,60,66,67,80,62,66,64,68,64,69,78,66,64,58,46,64,65,65,64,64,64,67,65,64,65,64,65,63,65,67,64,67,65,64,65,64,65,63,65,67,63
7037,S. Makienok,Denmark,ST,37,65,39,31,70,66,30,63,59,65,38,12,8,16,12,6,84,24,67,49,64,16,72,69,65,63,68,19,41,78,18,90,48,66,59,44,47,62,57,59,40,44,57,47,62,57,67,57,42,59,40,44,57,47,62,57,67,57,42,67
7038,Z. Filipović,Slovenia,CDM,46,63,58,49,67,66,52,43,61,49,42,16,11,7,7,7,66,72,71,71,52,70,61,62,65,73,67,63,40,77,66,72,66,33,63,67,69,61,67,63,64,67,67,69,61,61,60,59,64,63,64,67,67,69,61,61,60,59,64,60
7039,Welson Leima,Brazil,CAM,51,62,50,74,42,63,57,32,42,33,43,15,15,15,14,14,47,70,68,65,41,74,53,45,70,72,52,63,50,67,73,72,62,22,53,66,67,50,59,53,63,66,59,67,50,53,48,50,63,53,63,66,59,67,50,53,48,50,63,48
7040,R. Buess,Switzerland,ST,82,61,72,70,67,60,62,64,61,63,50,6,10,8,9,12,52,47,61,61,64,49,58,74,71,66,72,39,83,71,54,71,69,49,68,56,59,68,65,68,59,56,65,59,68,68,67,68,61,68,59,56,65,59,68,68,67,68,61,67
7041,Q. Menig,Netherlands,RM,87,41,89,67,74,51,55,70,75,67,34,14,9,12,12,8,54,29,55,50,60,20,57,58,66,62,66,25,87,67,25,47,55,58,67,39,46,68,59,67,49,39,59,46,68,67,66,69,52,67,49,39,59,46,68,67,66,69,52,66
7042,F. De Col,Italy,RB,74,61,70,60,63,63,66,47,62,26,32,15,7,14,13,13,55,63,58,60,22,67,37,45,65,57,41,67,72,84,65,73,28,31,52,64,63,51,55,52,67,64,55,63,51,59,50,55,67,52,67,64,55,63,51,59,50,55,67,50
7043,I. Ouali,Algeria,ST,90,41,84,80,68,62,62,65,72,53,61,14,7,7,10,11,49,31,68,52,62,27,54,57,62,62,70,17,87,72,26,54,59,60,65,40,47,65,59,65,49,40,59,47,65,67,62,67,53,65,49,40,59,47,65,67,62,67,53,62
7044,Lee Seung Hee,Korea Republic,CDM,52,77,68,53,63,60,43,43,63,43,64,14,7,8,16,14,45,65,62,61,65,66,56,53,62,65,35,71,58,70,69,81,68,33,61,66,67,58,64,61,62,66,64,67,58,59,53,58,62,61,62,66,64,67,58,59,53,58,62,53
7045,A. Aleksandrov,Bulgaria,CB,66,72,44,70,60,63,29,33,41,19,36,15,12,7,8,7,69,66,74,37,31,65,44,27,65,46,49,66,64,65,70,77,28,32,43,67,59,44,47,43,61,67,47,59,44,45,46,43,58,43,61,67,47,59,44,45,46,43,58,46
7046,P. Araujo,Mexico,CM,64,80,64,68,65,63,52,50,49,50,64,10,10,13,12,7,65,65,75,64,57,68,66,37,66,64,73,62,69,66,67,70,49,44,57,67,66,56,59,57,64,67,59,66,56,57,58,56,63,57,64,67,59,66,56,57,58,56,63,58
7047,A. Hammill,England,RM,77,62,70,71,70,68,69,63,72,65,66,6,7,8,6,8,37,43,47,60,70,45,53,62,60,63,68,46,72,63,47,58,65,64,67,50,56,66,63,67,56,50,63,56,66,67,63,68,59,67,56,50,63,56,66,67,63,68,59,63
7048,Z. Majer,Slovenia,CAM,70,70,68,69,70,69,62,60,71,57,58,11,10,15,8,14,52,61,58,73,61,49,57,57,61,70,58,53,62,76,57,63,68,45,67,59,64,64,67,67,61,59,67,64,64,67,61,65,63,67,61,59,67,64,64,67,61,65,63,61
7049,L. Nomenjanahary,Madagascar,RM,82,50,71,71,67,58,66,61,69,61,58,14,10,11,10,15,47,58,63,61,59,50,39,62,67,64,45,55,78,72,55,52,63,53,66,55,60,65,64,66,62,55,64,60,65,67,61,67,64,66,62,55,64,60,65,67,61,67,64,61
7050,A. Nikitin,Russia,RB,59,61,51,39,49,61,50,34,21,20,20,10,16,14,12,14,68,65,83,61,14,68,41,28,55,56,28,67,58,60,70,83,34,15,40,67,61,38,48,40,61,67,48,61,38,44,41,40,58,40,61,67,48,61,38,44,41,40,58,41
7051,K. Dowell,England,LW,70,48,72,72,69,70,62,56,74,62,51,8,13,7,14,8,52,33,52,67,65,46,54,56,60,70,67,52,69,59,49,57,66,56,67,51,56,66,64,67,56,51,64,56,66,66,63,67,57,67,56,51,64,56,66,66,63,67,57,63
7052,Josete,Spain,CDM,74,74,69,59,52,62,58,41,32,48,59,9,14,10,9,10,73,61,86,57,36,63,39,33,58,65,67,70,73,55,64,73,41,47,50,67,61,50,52,50,63,67,52,61,50,52,55,51,61,50,63,67,52,61,50,52,55,51,61,55
7053,C. Dielna,France,LB,69,79,57,56,21217,53,21094,19146,38,36,22737,1,1,1,1,1,60,22647,63,61,53-14,66,52,35,65,21976,26085,65,64,26696,23774,31168,33,38,50,67,64,50,54,50,64,67,54,64,50,53,53,51,63,50,64,67,54,64,50,53,53,51,63,53
7054,M. Vidal,France,GK,38,21,55,62,17,42,15,12,14,14,14,69,68,68,69,67,13,21,55,27,17,13,16,11,55,31,23,15,32,25,13,72,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7055,J. Tshibumbu,DR Congo,ST,79,67,71,76,69,64,50,57,68,67,60,15,7,15,11,6,71,24,72,57,67,20,63,62,65,66,63,17,77,71,17,62,54,59,65,42,47,66,59,65,46,42,59,47,66,65,67,66,48,65,46,42,59,47,66,65,67,66,48,67
7056,D. Koppers,Netherlands,LB,76,70,67,75,67,65,63,55,66,44,37,16,8,10,11,15,67,67,91,59,40,67,48,64,67,66,58,66,73,72,64,63,56,36,62,67,66,62,63,62,67,67,63,66,62,65,60,63,67,62,67,67,63,66,62,65,60,63,67,60
7057,L. Murillo,Colombia,LB,81,79,75,76,59,68,62,66,68,58,59,9,11,11,6,15,62,61,72,57,65,71,40,61,63,62,75,69,71,74,68,76,55,46,62,68,65,64,61,62,67,68,61,65,64,64,64,64,66,62,67,68,61,65,64,64,64,64,66,64
7058,L. Bijker,Netherlands,LB,73,76,65,77,63,63,65,41,65,35,33,7,9,8,8,10,53,70,80,63,28,68,52,53,65,56,32,67,76,74,68,73,54,33,57,67,66,56,60,57,67,67,60,66,56,62,52,59,67,57,67,67,60,66,56,62,52,59,67,52
7059,Nili Perdomo,Spain,RW,72,59,77,71,70,59,67,39,71,46,37,11,8,11,7,9,57,69,58,57,30,64,51,67,68,64,42,66,75,65,63,59,49,29,62,64,64,62,62,62,67,64,62,64,62,65,59,64,67,62,67,64,62,64,62,65,59,64,67,59
7060,Vasco Costa,Portugal,ST,71,48,68,58,68,69,55,54,71,65,39,8,7,6,9,12,61,18,70,41,58,18,68,70,70,59,69,17,63,62,23,75,57,58,64,40,43,66,56,64,43,40,56,43,66,64,67,65,46,64,43,40,56,43,66,64,67,65,46,67
7061,L. Agouazi,Algeria,CDM,56,76,42,57,61,64,58,52,60,51,47,15,8,16,8,16,68,65,68,69,54,58,67,42,73,72,58,60,67,73,64,72,70,42,62,66,67,60,65,62,64,66,65,67,60,62,59,59,64,62,64,66,65,67,60,62,59,59,64,59
7062,Juan Carlos,Spain,CM,67,45,73,70,68,63,64,55,67,61,54,8,11,14,6,8,49,45,58,64,59,37,55,68,62,72,56,41,61,67,49,55,73,49,68,49,57,66,66,68,55,49,66,57,66,67,62,66,57,68,55,49,66,57,66,67,62,66,57,62
7063,C. Matei,Romania,RM,79,43,75,68,70,57,65,68,68,61,61,13,9,11,13,9,62,31,58,55,65,38,69,65,63,63,66,34,78,76,28,42,66,60,66,43,50,67,61,66,53,43,61,50,67,67,64,68,55,66,53,43,61,50,67,67,64,68,55,64
7064,R. Gíslason,Iceland,LM,75,75,67,64,62,70,66,65,68,66,59,10,7,14,14,6,56,40,71,59,71,35,52,69,66,67,72,26,78,71,40,76,58,63,66,51,54,67,62,66,53,51,62,54,67,67,67,67,56,66,53,51,62,54,67,67,67,67,56,67
7065,K. Agard,England,RM,83,60,87,76,61,56,60,40,64,65,31,13,6,9,10,7,62,46,83,54,60,48,68,69,70,60,65,22,87,78,30,70,55,61,64,51,53,66,59,64,54,51,59,53,66,66,67,67,56,64,54,51,59,53,66,66,67,67,56,67
7066,S. Yatabaré,Mali,RB,69,84,66,52,70,64,58,59,71,64,58,6,6,10,9,13,57,67,66,65,62,60,64,66,63,66,70,58,68,77,65,80,64,47,67,66,67,67,67,67,65,66,67,67,67,67,66,66,65,67,65,66,67,67,67,67,66,66,65,66
7067,E. Jelenič,Slovenia,LW,75,43,87,75,69,76,65,67,69,56,62,8,13,10,5,9,54,50,57,62,60,30,60,60,66,66,68,48,86,71,47,70,54,58,65,52,56,65,62,65,58,52,62,56,65,67,64,67,60,65,58,52,62,56,65,67,64,67,60,64
7068,S. Kroon,Sweden,RM,90,68,80,67,64,63,63,65,71,59,61,9,14,6,11,15,41,47,60,58,55,17,61,63,68,60,63,15,83,61,33,51,65,54,66,42,50,66,60,66,49,42,60,50,66,67,62,68,53,66,49,42,60,50,66,67,62,68,53,62
7069,E. Castillo,United States,LWB,83,68,84,74,68,66,66,64,71,45,60,14,8,6,13,10,51,64,87,61,55,57,64,69,71,68,67,65,81,74,65,63,60,49,67,64,65,66,66,67,67,64,66,65,66,68,63,68,68,67,67,64,66,65,66,68,63,68,68,63
7070,I. Chaykovskyi,Ukraine,CDM,61,75,62,82,64,61,56,47,63,44,43,9,10,12,12,8,61,67,83,67,56,55,61,34,61,75,61,72,67,71,70,55,65,41,61,66,67,58,64,61,66,66,64,67,58,61,55,59,66,61,66,66,64,67,58,61,55,59,66,55
7071,Rabiola,Portugal,ST,65,71,67,58,70,70,59,58,70,70,56,13,6,10,13,11,67,26,62,59,59,31,73,65,64,64,78,30,59,33,46,63,61,59,65,49,50,67,60,65,47,49,60,50,67,63,67,66,49,65,47,49,60,50,67,63,67,66,49,67
7072,E. Manu,Ghana,ST,90,74,79,80,70,67,61,65,72,62,52,6,9,14,9,10,59,22,67,44,68,22,52,62,66,58,77,23,91,71,26,77,46,67,64,44,46,67,56,64,49,44,56,46,67,66,68,68,52,64,49,44,56,46,67,66,68,68,52,68
7073,E. Thommy,Germany,RM,79,37,87,85,71,59,66,59,70,65,61,6,11,16,8,15,49,27,53,58,69,32,57,61,61,67,66,31,68,67,37,37,64,58,67,41,49,67,62,67,51,41,62,49,67,67,63,68,54,67,51,41,62,49,67,67,63,68,54,63
7074,L. Ceccarelli,Italy,CB,69,68,56,58,47,68,37,11,34,17,13,6,12,14,5,12,62,71,80,54,53,67,36,13,56,58,54,65,61,73,69,79,21,11,41,67,61,40,48,41,62,67,48,61,40,44,42,41,59,41,62,67,48,61,40,44,42,41,59,42
7075,T. Andrade,Argentina,CAM,75,36,82,81,67,51,48,46,76,52,45,12,10,8,9,15,40,24,60,62,58,24,50,63,55,66,52,22,84,82,21,59,69,43,67,37,47,65,62,67,46,37,62,47,65,67,59,66,50,67,46,37,62,47,65,67,59,66,50,59
7076,K. Noborizato,Japan,LB,86,56,90,78,69,60,63,67,70,49,54,11,7,7,7,7,50,57,79,52,61,60,49,62,70,57,68,64,87,85,61,58,58,54,64,61,61,65,62,64,67,61,62,61,65,67,63,67,67,64,67,61,62,61,65,67,63,67,67,63
7077,B. Figueraz,Chile,CB,73,70,71,68,64,59,53,51,57,55,62,7,9,8,9,16,62,63,49,61,64,68,68,52,63,75,68,71,71,69,70,62,60,48,63,66,67,62,64,63,67,66,64,67,62,62,61,62,66,63,67,66,64,67,62,62,61,62,66,61
7078,R. Morioka,Japan,CAM,68,39,71,69,71,59,65,58,69,65,65,5,8,6,13,6,43,25,54,69,51,30,64,61,62,71,62,34,68,54,42,58,70,46,67,43,52,66,63,67,50,43,63,52,66,67,62,67,53,67,50,43,63,52,66,67,62,67,53,62
7079,Álex Menéndez,Spain,LM,72,59,72,67,73,66,71,67,70,69,49,13,6,13,9,7,50,59,68,57,68,62,50,75,72,72,71,68,76,62,63,66,66,43,70,63,65,71,68,70,67,63,68,65,71,70,69,71,68,70,67,63,68,65,71,70,69,71,68,69
7080,I. Lores Varela,Uruguay,RW,85,22,81,56,72,64,64,67,72,54,37,14,15,13,12,9,43,19,33,50,48,25,60,65,65,64,70,29,84,73,43,59,55,47,65,40,47,66,59,65,51,40,59,47,66,68,63,68,54,65,51,40,59,47,66,68,63,68,54,63
7081,F. Córdoba,Colombia,RM,88,62,81,75,62,51,76,41,61,36,69,16,15,9,11,7,50,48,90,59,72,61,62,59,62,64,79,65,86,86,67,74,59,37,62,63,62,62,62,62,67,63,62,62,62,66,60,64,68,62,67,63,62,62,62,66,60,64,68,60
7082,J. Ortiz,Colombia,CAM,77,62,73,73,66,63,66,48,70,49,69,7,10,11,11,15,46,45,73,66,74,32,48,67,62,64,73,39,74,68,29,73,67,40,66,48,54,66,63,66,53,48,63,54,66,67,63,66,56,66,53,48,63,54,66,67,63,66,56,63
7083,Jadson Castrelo,Brazil,CM,57,74,60,51,67,74,51,52,61,46,48,8,13,8,9,10,56,64,57,68,51,61,66,56,62,65,60,59,54,84,71,81,46,41,58,66,67,58,63,58,63,66,63,67,58,60,58,57,63,58,63,66,63,67,58,60,58,57,63,58
7084,K. McFadzean,England,CB,51,81,33,52,50,45,20,22,43,35,28,11,13,11,6,6,65,70,67,45,33,61,36,20,56,53,51,63,50,69,69,85,47,28,44,67,61,44,50,44,57,67,50,61,44,44,46,41,55,44,57,67,50,61,44,44,46,41,55,46
7085,V. Shakhov,Russia,CB,54,61,45,54,36,60,28,28,45,37,32,14,6,6,6,5,70,67,69,61,26,68,40,41,69,59,45,70,55,68,75,72,29,33,45,67,62,45,51,45,61,67,51,62,45,47,49,44,58,45,61,67,51,62,45,47,49,44,58,49
7086,M. de Leeuw,Netherlands,RW,61,73,68,74,71,66,52,52,66,70,57,6,15,12,8,14,85,53,77,51,65,39,71,77,68,66,67,59,52,83,53,65,64,70,67,60,60,68,65,67,60,60,65,60,68,65,70,66,60,67,60,60,65,60,68,65,70,66,60,70
7087,M. Baudry,Congo,RB,50,71,42,51,54,58,56,34,30,17,22,10,14,10,12,12,69,67,60,55,23,65,38,23,64,54,40,66,61,73,67,28522,35,22,42,67,62,40,49,42,63,67,49,62,40,46,42,42,61,42,63,67,49,62,40,46,42,42,61,42
7088,I. Stefanović,Serbia,GK,49,24,36,41,25,24,12,18,15,17,21,66,68,75,65,68,16,22,59,22,13,13,11,18,64,27,25,16,40,32,13,81,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7089,Simy,Nigeria,ST,55,79,46,37,57,70,28,45,58,71,34,16,10,11,10,15,76,21,39,35,64,25,61,74,70,53,74,22,33,54,28,82,46,72,57,45,43,61,51,57,39,45,51,43,61,53,67,56,40,57,39,45,51,43,61,53,67,56,40,67
7090,D. Tumasyan,Russia,CB,58,64,52,64,60,61,47,32,47,51,40,13,6,6,8,6,74,70,71,56,42,68,60,32,65,61,54,66,54,44,67,70,34,44,50,67,62,51,53,50,62,67,53,62,51,51,54,51,59,50,62,67,53,62,51,51,54,51,59,54
7091,F. Brandán,Argentina,RW,90,33,93,87,69,66,56,53,72,64,60,8,16,16,10,16,37,32,76,54,64,32,59,59,69,57,64,30,87,68,29,38,62,45,66,39,47,67,60,66,51,39,60,47,67,67,62,68,54,66,51,39,60,47,67,67,62,68,54,62
7092,E. Andrade,Mexico,LM,70,50,71,64,70,70,74,79,73,55,76,8,15,9,13,13,66,59,60,65,73,43,67,60,70,70,77,49,73,71,47,72,66,66,68,57,61,68,67,68,62,57,67,61,68,69,67,69,64,68,62,57,67,61,68,69,67,69,64,67
7093,M. Chrien,Slovakia,CDM,67,61,52,64,72,59,65,60,70,55,41,9,10,9,7,12,68,55,60,69,45,46,48,70,60,72,59,55,71,69,53,70,70,50,67,59,62,66,67,67,61,59,67,62,66,68,64,66,62,67,61,59,67,62,66,68,64,66,62,64
7094,S. Frei,United States,GK,43,39,51,58,19,33,15,10,18,17,15,69,59,63,69,73,12,15,78,33,12,17,20,12,68,32,23,12,45,30,20,70,50,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7095,T. Margasov,Russia,LB,72,54,57,64,65,64,63,35,65,34,41,8,11,15,12,10,61,67,57,62,28,70,42,50,55,67,32,68,74,73,71,59,37,28,56,65,64,54,58,56,67,65,58,64,54,61,52,57,67,56,67,65,58,64,54,61,52,57,67,52
7096,Adão Salvadaldo,Brazil,LM,78,40,87,84,71,58,61,51,77,72,52,13,15,15,7,8,61,30,66,41,71,22,77,65,61,55,66,23,75,55,17,49,36,65,63,38,41,66,53,63,46,38,53,41,66,64,67,68,49,63,46,38,53,41,66,64,67,68,49,67
7097,T. Kida,Japan,CM,72,84,77,87,67,65,53,35,43,32,45,9,7,5,14,9,49,66,73,64,44,63,42,42,62,70,47,58,71,90,62,68,58,35,57,64,67,54,62,57,65,64,62,67,54,59,51,56,65,57,65,64,62,67,54,59,51,56,65,51
7098,Fábinho,Brazil,LM,75,87,76,83,70,76,62,68,72,56,39,9,13,13,7,8,56,68,67,60,53,60,60,61,68,65,50,64,72,75,65,68,62,45,66,66,67,65,65,66,67,66,65,67,65,67,62,66,67,66,67,66,65,67,65,67,62,66,67,62
7099,M. Hornschuh,Germany,RB,54,59,55,45,63,63,62,43,57,36,33,13,10,15,14,10,71,66,77,61,46,70,40,40,66,66,42,66,65,72,68,68,54,35,56,67,65,54,60,56,66,67,60,65,54,58,53,56,65,56,66,67,60,65,54,58,53,56,65,53
7100,Mosquito,Brazil,ST,79,50,75,77,72,64,43,49,66,73,35,10,15,6,16,10,54,20,74,42,64,23,70,73,59,55,58,22,83,52,20,64,53,55,64,39,42,67,55,64,43,39,55,42,67,63,67,66,45,64,43,39,55,42,67,63,67,66,45,67
7101,L. DeVere,Australia,CB,53,65,50,49,57,67,32,21,32,35,36,10,8,13,12,7,59,70,70,54,44,66,47,35,60,63,56,66,66,56,69,85,50,31,50,67,63,48,54,50,61,67,54,63,48,48,50,46,58,50,61,67,54,63,48,48,50,46,58,50
7102,N. Giani,Italy,LB,55,71,43,62,49,60,31,31,41,31,32,5,11,41,7,21,64,66,73,42,42,72,55,51,61,42,42,68,55,60,70,76,20,32,42,67,58,45,46,42,59,67,46,58,45,44,48,43,56,42,59,67,46,58,45,44,48,43,56,48
7103,D. Terentyev,Russia,RWB,73,56,59,74,62,59,67,51,60,34,48,11,8,6,7,15,58,62,34,59,32,66,66,49,66,63,66,68,74,73,70,59,59,47,58,63,64,57,60,58,67,63,60,64,57,62,55,59,67,58,67,63,60,64,57,62,55,59,67,55
7104,E. Castañeda,Colombia,CB,68,65,48,58,40,46,24,40,31,40,60,16,15,14,15,14,66,64,74,52,65,65,37,24,58,50,70,73,64,55,75,75,32,38,43,67,59,44,47,43,59,67,47,59,44,42,50,42,55,43,59,67,47,59,44,42,50,42,55,50
7105,Y. Hinestroza,Colombia,RB,69,62,84,81,62,48,64,58,60,34,35,11,16,14,7,11,43,72,76,59,61,67,34,56,75,57,69,65,72,78,70,56,47,27,58,64,65,58,61,58,67,64,61,65,58,61,55,60,68,58,67,64,61,65,58,61,55,60,68,55
7106,F. Marković,Serbia,RM,74,61,68,65,68,46,69,69,71,66,62,7,14,7,8,15,61,51,54,66,68,50,60,62,58,68,65,47,76,61,54,57,61,67,66,56,59,66,64,66,59,56,64,59,66,67,65,68,61,66,59,56,64,59,66,67,65,68,61,65
7107,C. Alhadhur,Comoros,RB,66,30,77,83,62,62,65,52,57,19,31,11,15,9,14,9,53,67,63,55,49,67,38,37,66,66,56,71,67,64,72,28,43,38,54,60,61,52,57,54,67,60,57,61,52,57,48,55,66,54,67,60,57,61,52,57,48,55,66,48
7108,A. Tello,Colombia,RB,83,71,77,63,70,65,58,49,71,61,32,9,12,15,7,9,59,63,71,65,59,54,35,57,71,70,59,63,80,80,67,75,63,70,68,65,67,67,67,68,67,65,67,67,67,69,66,68,68,68,67,65,67,67,67,69,66,68,68,66
7109,R. Aguilar,France,RB,75,59,74,78,62,62,63,54,59,29,33,15,8,16,10,13,53,67,73,47,26,65,38,59,66,61,49,70,73,72,68,55,46,34,56,64,62,55,57,56,67,64,57,62,55,60,53,58,67,56,67,64,57,62,55,60,53,58,67,53
7110,N. Gjorgjev,FYR Macedonia,RM,84,48,81,79,72,61,64,67,76,56,52,10,11,15,7,7,42,18,57,43,60,24,51,60,63,64,66,32,78,65,29,40,58,64,66,38,45,66,58,66,49,38,58,45,66,67,62,68,52,66,49,38,58,45,66,67,62,68,52,62
7111,Fabrício,Brazil,LW,56,73,71,60,70,67,62,75,71,70,72,9,14,13,10,10,63,51,66,60,66,24,64,64,68,65,73,30,61,74,27,74,69,59,67,49,55,67,64,67,51,49,64,55,67,66,67,67,54,67,51,49,64,55,67,66,67,67,54,67
7112,S. Gustafson,Sweden,CAM,64,55,71,57,76,63,62,68,71,56,67,16,15,8,12,11,39,52,31,65,67,47,48,59,65,72,65,56,61,64,59,64,71,47,68,55,62,66,67,68,60,55,67,62,66,67,61,67,62,68,60,55,67,62,66,67,61,67,62,61
7113,C. Dell'Orco,Italy,LB,63,57,61,60,68,63,67,60,60,30,41,5,12,5,7,12,65,69,65,40,39,68,40,56,68,56,42,71,69,67,70,60,41,44,55,66,62,55,56,55,67,66,56,62,55,59,54,57,67,55,67,66,56,62,55,59,54,57,67,54
7114,V. Klonaridis,Greece,CAM,84,63,77,74,66,64,62,60,68,68,60,11,8,14,11,12,36,58,62,63,68,41,62,70,60,66,71,40,82,64,46,56,58,57,67,51,57,67,63,67,57,51,63,57,67,67,65,68,59,67,57,51,63,57,67,67,65,68,59,65
7115,G. Coutinho,Netherlands,GK,55,32,65,44,33,51,11,13,11,20,11,72,65,60,66,70,15,12,73,30,14,14,29,12,64,20,37,16,54,40,18,56,52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7116,M. Pérez,Mexico,CM,72,59,75,76,69,51,61,55,60,41,48,10,13,16,14,14,61,70,65,68,45,62,59,60,62,71,61,63,75,71,69,66,61,41,63,66,67,61,65,63,67,66,65,67,61,64,59,62,67,63,67,66,65,67,61,64,59,62,67,59
7117,R. Williams,South Africa,GK,51,34,37,55,15,19,19,15,23,16,23,71,68,62,61,70,13,24,61,34,19,12,18,14,64,32,22,13,62,39,24,53,19,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,Pedró,Portugal,CM,69,48,60,65,71,66,72,54,72,54,48,8,10,15,8,9,44,29,50,69,51,43,55,59,58,76,68,48,64,49,40,65,68,48,67,48,54,65,63,67,53,48,63,54,65,67,61,66,56,67,53,48,63,54,65,67,61,66,56,61
7119,Luis Valcarce,Spain,LB,79,62,74,74,70,60,70,63,63,49,58,10,15,10,7,7,52,64,70,63,56,61,61,49,66,68,57,60,82,86,59,63,54,48,63,62,65,62,64,63,67,62,64,65,62,66,59,64,69,63,67,62,64,65,62,66,59,64,69,59
7120,J. Cardona,Colombia,CAM,80,55,75,77,69,63,57,66,74,60,74,16,9,14,7,8,42,40,71,51,68,34,55,62,62,62,53,53,73,66,37,56,68,32,67,48,52,66,61,67,54,48,61,52,66,66,61,67,57,67,54,48,61,52,66,66,61,67,57,61
7121,B. Vincent,United States,LWB,73,69,57,61,60,59,64,61,58,34,42,7,8,11,7,14,58,67,74,64,51,63,58,63,64,65,59,64,78,79,65,68,64,29,61,65,66,59,63,61,67,65,63,66,59,63,57,60,67,61,67,65,63,66,59,63,57,60,67,57
7122,Bruno Gomes,Brazil,ST,76,45,62,62,66,54,36,60,64,66,40,12,14,12,8,9,60,15,60,53,67,14,69,72,65,55,70,16,75,55,21,66,59,62,64,37,41,66,56,64,40,37,56,41,66,61,67,63,42,64,40,37,56,41,66,61,67,63,42,67
7123,S. Bruzzese,Belgium,GK,38,24,46,35,33,38,18,17,16,14,9,68,66,69,67,70,16,15,68,36,18,10,29,14,63,37,34,9,43,26,10,61,43,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7124,I. Vorsah,Ghana,CB,39,65,58,34,61,70,59,44,48,23,33,8,6,7,7,11,75,58,62,61,39,63,41,51,53,62,63,64,64,73,69,92,54,43,52,67,63,51,57,52,62,67,57,63,51,54,53,51,61,52,62,67,57,63,51,54,53,51,61,53
